abs_idxs,rel_idxs,iso_idxs,dof,redchisq,lim
"0,3",94,"2,3",1,0.04239291986696398,3.8284271247461903
"10,7","96,95","6,7",2,1.005211288956271,3.0
"342,343",329,"521,519",1,6.722161275675063,3.8284271247461903
12,,12,0,0.0,100.0
15,,15,0,0.0,100.0
17,,16,0,0.0,100.0
"24,27,20","97,98,99,181,182","17,18,19",5,1.0769183073680693,2.264911064067352
"32,29",100,"20,21",1,0.8096307636874053,3.8284271247461903
"344,345,346,347,348,349","330,331,332,333,334","533,534,535,536,537,538",5,0.15513561965532913,2.264911064067352
"34,37,39","101,102,103,104,105,106,183,184","24,22,23",8,0.518557405386254,2.0
"48,49,45","185,186,107,108,187","29,30,31",5,0.19822925443981484,2.264911064067352
42,,25,0,0.0,100.0
350,,549,0,0.0,100.0
51,,40,0,0.0,100.0
"57,53,55","190,189,188,109,110,111","49,50,51",6,0.36347497267447154,2.1547005383792515
"352,354,355,351","336,337,335","564,565,566,567",3,0.10171181193076755,2.632993161855452
,202,"53,54",0,0.0,100.0
"65,68,62","112,113,192,193,191","56,57,55",5,0.9747688840999491,2.264911064067352
"80,82,75","194,114,115,195,196,116","59,60,61",6,0.7468218814857814,2.1547005383792515
71,,58,0,0.0,100.0
84,,62,0,0.0,100.0
86,,63,0,0.0,100.0
"90,92,87","197,198","72,68,70",2,0.08433972643135948,3.0
357,,581,0,0.0,100.0
"360,361,363,359","338,339,340","592,593,590,591",3,0.8004393418239096,2.632993161855452
"99,95",199,"81,79",1,3.63360949390841e-05,3.8284271247461903
"100,102,103,104,105,106","200,201,203,204,205,206,207,208,117,118,119,120","97,89,91,92,93,95",12,0.5777210952021429,1.816496580927726
124,,121,0,0.0,100.0
365,,609,0,0.0,100.0
108,,102,0,0.0,100.0
"113,114,109,110,111","128,209,210,211,212,213,214,121,122,123,124,125,126,127","106,107,108,109,110",14,0.4042749954282738,1.7559289460184544
115,,111,0,0.0,100.0
"121,122,116,118","129,130,131,132,133,134,215,216,217,218","112,113,114,115",10,1.1038912273139168,1.8944271909999157
133,,127,0,0.0,100.0
"369,371,372,375,366,367","341,342,343,344,345","630,631,632,633,634,636",5,0.05235450034040272,2.264911064067352
"130,131,125,127","135,136,219,220,221","123,124,125,126",5,0.1587389717895271,2.264911064067352
"144,146,149,135,140","224,225,137,138,139,140,141,142,143,222,223","128,129,130,131,132",11,0.33752293132020456,1.8528028654224418
"154,151","144,226","133,134",2,0.02472926100128542,3.0
"161,164,156,158","227,228,229,145,146,147,148,149,150,151,152","136,138,139,135",11,1.406718360718588,1.8528028654224418
"166,167",230,"140,141",1,0.09942040156443088,3.8284271247461903
"168,170,172,173,175","231,232,233,234,153,154,155,156","142,143,144,145,146",8,0.3784904944538293,2.0
177,,147,0,0.0,100.0
178,,148,0,0.0,100.0
"179,181,182,184,187","235,236,237,238","149,150,151,152,153",4,0.11620880866085208,2.414213562373095
"378,379,380,381,382","346,347,348,349","661,662,663,664,665",4,0.8028531359807072,2.414213562373095
"189,190",239,"154,155",1,0.04499259514651424,3.8284271247461903
"385,387,388","350,351","672,669,671",2,0.83973602009692,3.0
"192,193,194,195,196,191","240,241,242,243,244","161,163,165,166,167,169",5,0.02454702380647395,2.264911064067352
"392,394,395,391","352,353,354","680,681,676,678",3,1.637392300811116,2.632993161855452
393,,679,0,0.0,100.0
396,,690,0,0.0,100.0
397,,691,0,0.0,100.0
"197,198",245,"189,191",1,0.002519001496915684,3.8284271247461903
"400,401,404,398","355,356,357","708,709,710,711",3,0.38074473685400484,2.632993161855452
377,,651,0,0.0,100.0
"200,201,202,199","248,246,247","210,212,213,214",3,0.006300557279608846,2.632993161855452
405,,726,0,0.0,100.0
204,,230,0,0.0,100.0
"407,408,409,410,411","358,359,360,361,362","746,747,748,749,750,752",4,0.5678776540535913,2.414213562373095
"208,210,211,212,207","249,250,251,252,157,158","246,247,248,249,250",6,0.3817149735911997,2.1547005383792515
"412,414",363,"768,770",1,0.33278658267887457,3.8284271247461903
213,,260,0,0.0,100.0
59,,52,0,0.0,100.0
"216,217,218,219,220,221,222","160,256,161,259,257,258,255,162,260,253,254,159","266,267,268,269,270,271,272",12,0.25690896152475357,1.816496580927726
417,,787,0,0.0,100.0
418,,788,0,0.0,100.0
419,,789,0,0.0,100.0
420,,790,0,0.0,100.0
"224,225,226,227,228,229,223","261,262,263,264,265,266","279,280,281,282,283,284,285",6,0.042938281949900264,2.1547005383792515
"425,427,428,429","375,364,365,366,367,368,369,178,371,179,372,373,180,376,374,370","795,797,798,799",16,0.09074393916626321,1.7071067811865475
"231,232,234,235,237,239","267,268,269,270,271","288,289,290,291,292,287",5,0.12085847345801448,2.264911064067352
431,,800,0,0.0,100.0
"242,243",272,"297,298",1,0.0007353172804168452,3.8284271247461903
386,,670,0,0.0,100.0
434,,803,0,0.0,100.0
435,,804,0,0.0,100.0
436,,805,0,0.0,100.0
"257,244,245,246,248,249,251,252","163,164,165,166,273,274,275,276,277,278,279","303,305,307,308,309,310,311,313",11,0.1610068144660911,1.8528028654224418
"259,260",280,"325,327",1,0.1819375280095693,3.8284271247461903
263,,342,0,0.0,100.0
264,,343,0,0.0,100.0
"265,268,271,272,274,276,278,281,284","288,289,290,291,292,167,168,169,170,281,282,283,284,285,286,287","352,354,356,344,346,348,349,350,351",16,1.1482962483045116,1.7071067811865475
267,,345,0,0.0,100.0
270,,347,0,0.0,100.0
280,,353,0,0.0,100.0
283,,355,0,0.0,100.0
285,,357,0,0.0,100.0
440,,869,0,0.0,100.0
441,,870,0,0.0,100.0
442,,871,0,0.0,100.0
443,,872,0,0.0,100.0
445,,874,0,0.0,100.0
448,,876,0,0.0,100.0
"286,287",293,"365,366",1,0.08291497946380234,3.8284271247461903
449,,881,0,0.0,100.0
"288,289,290,291,292,294,295","294,295,296,297,298,299","370,371,372,373,374,375,376",6,0.1014063056800591,2.1547005383792515
450,,882,0,0.0,100.0
296,,380,0,0.0,100.0
"298,299,300,301,302,303,304,305,306","300,301,302,303,304,305,306,307","385,386,387,388,389,390,391,393,394",8,0.008772196768600636,2.0
421,,791,0,0.0,100.0
383,,667,0,0.0,100.0
422,,792,0,0.0,100.0
423,,793,0,0.0,100.0
424,,794,0,0.0,100.0
230,,286,0,0.0,100.0
307,,419,0,0.0,100.0
426,,796,0,0.0,100.0
"308,309,310,311,312","308,309,310,311,312,313,314","448,449,450,451,447",7,1.7105779460464166,2.0690449676496976
432,,801,0,0.0,100.0
433,,802,0,0.0,100.0
