Z,A,Iso_Idxs,Value,Unc,RefRemarks,Term,Include,Table,Connected_Measurements
2.0,3.0,002003,1.9407922365988681,0.020084306692569647,,R002003,,absl,201
2.0,3.0,002003,1.9407922365988681,0.020084306692569647,,R002003,,absl,201
2.0,3.0,002003,1.9407922365988681,0.020084306692569647,,R002003,,absl,201
2.0,4.0,002004,1.6756661487243376,0.0025756150031432355,,R002004,,absl,5436
2.0,4.0,002004,1.6756661487243376,0.0025756150031432355,,R002004,,absl,5436
2.0,4.0,002004,1.6756661487243376,0.0025756150031432355,,R002004,,absl,5436
2.0,4.0,002004,1.6756661487243376,0.0025756150031432355,,R002004,,absl,5436
3.0,6.0,003006,2.552222222223612,0.03333333333150498,,R003006,,absl,987
3.0,6.0,003006,2.552222222223612,0.03333333333150498,,R003006,,absl,987
3.0,6.0,003006,2.552222222223612,0.03333333333150498,,R003006,,absl,987
3.0,7.0,003007,2.3952941176496276,0.051449575485129566,,R003007,,absl,1011
3.0,7.0,003007,2.3952941176496276,0.051449575485129566,,R003007,,absl,1011
4.0,9.0,004009,2.5179923564740365,0.011863458104234042,,R004009,,absl,121413
4.0,9.0,004009,2.5179923564740365,0.011863458104234042,,R004009,,absl,121413
4.0,9.0,004009,2.5179923564740365,0.011863458104234042,,R004009,,absl,121413
5.0,10.0,005010,2.4276923076927934,0.04992301768803322,,R005010,,absl,1516
5.0,10.0,005010,2.4276923076927934,0.04992301768803322,,R005010,,absl,1516
5.0,11.0,005011,2.4059566695711476,0.029418975792668528,,R005011,,absl,181719
5.0,11.0,005011,2.4059566695711476,0.029418975792668528,,R005011,,absl,181719
5.0,11.0,005011,2.4059566695711476,0.029418975792668528,,R005011,,absl,181719
6.0,12.0,006012,2.47045988391727,0.0022679951838423906,,R006012,,absl,21202322
6.0,12.0,006012,2.47045988391727,0.0022679951838423906,,R006012,,absl,21202322
6.0,12.0,006012,2.47045988391727,0.0022679951838423906,,R006012,,absl,21202322
6.0,12.0,006012,2.47045988391727,0.0022679951838423906,,R006012,,absl,21202322
6.0,13.0,006013,2.462508351595484,0.00372242029094867,,R006013,,absl,242526
6.0,13.0,006013,2.462508351595484,0.00372242029094867,,R006013,,absl,242526
6.0,13.0,006013,2.462508351595484,0.00372242029094867,,R006013,,absl,242526
6.0,14.0,006014,2.496602978791685,0.012891376639857169,,R006014,,absl,2827
6.0,14.0,006014,2.496602978791685,0.012891376639857169,,R006014,,absl,2827
7.0,14.0,007014,2.5520248987786274,0.008219203189866188,,R007014,,absl,293031
