m_idxs,iso_idxs,redchisq,dof,lim
"144,145",028061,1.2952671215619178,2,3.0
322,060143,2.4245775999999934e-09,1,3.8284271247461903
200,038086,1.7901360999999977e-09,1,3.8284271247461903
212,040096,1.8931200999999994e-09,1,3.8284271247461903
385,074182,2.8676024999999995e-09,1,3.8284271247461903
337,062148,2.4940035999999927e-09,1,3.8284271247461903
"128,129,127",026056,0.3180580338787636,3,2.632993161855452
108,021045,1.2574115999999985e-09,1,3.8284271247461903
245,048108,2.0738915999999957e-09,1,3.8284271247461903
"184,185,186",034080,1.1487832274245546,3,2.632993161855452
338,062149,2.508006399999993e-09,1,3.8284271247461903
394,076190,2.9226998439999993e-09,1,3.8284271247461903
395,076192,2.9268099999999993e-09,1,3.8284271247461903
"412,413",081203,0.5489905003070259,2,3.0
"281,282",050122,0.8773830166849333,2,3.0
397,077193,2.926809999993415e-09,1,3.8284271247461903
"256,252,253,254,255",048114,1.5704974993941714,5,2.264911064067352
114,022050,1.275204099999999e-09,1,3.8284271247461903
"156,157",030064,0.06896551801270283,2,3.0
425,082204,3.001944099999999e-09,1,3.8284271247461903
189,035079,1.7330568999999982e-09,1,3.8284271247461903
"53,54",012024,0.7020280815906633,2,3.0
109,022046,1.3003235999999986e-09,1,3.8284271247461903
"106,107",020048,0.022222222827458962,2,3.0
"131,132",026058,0.3789005628000081,2,3.0
302,054130,2.2877088999999957e-09,1,3.8284271247461903
229,044104,2.0331080999999963e-09,1,3.8284271247461903
311,056137,2.3348223999999946e-09,1,3.8284271247461903
309,056135,2.3299928999999944e-09,1,3.8284271247461903
"80,81",016034,0.044790325829228046,2,3.0
"237,238",046108,4.257796258831668,2,3.0
197,037085,1.7673615999999974e-09,1,3.8284271247461903
192,036080,1.7623203999999974e-09,1,3.8284271247461903
"96,97,98,95",019039,0.27244223369526455,4,2.414213562373095
288,052122,2.2184099999999934e-09,1,3.8284271247461903
308,056134,2.3319240999999946e-09,1,3.8284271247461903
341,062154,2.6142768999999897e-09,1,3.8284271247461903
194,036083,1.7522595999999977e-09,1,3.8284271247461903
"249,250",048112,1.666913617888723,2,3.0
"68,69,70",014030,5.605898987763328,3,2.632993161855452
196,036086,1.7505855999999976e-09,1,3.8284271247461903
"120,118,119",024052,2.426086249503693,3,2.632993161855452
306,054136,2.303040099999995e-09,1,3.8284271247461903
"161,162,163",030068,0.18329119935670446,3,2.632993161855452
"187,188",034082,1.8161350852838039,2,3.0
167,031071,1.6088120999999985e-09,1,3.8284271247461903
172,032073,1.649172099999998e-09,1,3.8284271247461903
228,044102,2.0079360999999963e-09,1,3.8284271247461903
"388,389,390",074186,0.11901157923427895,3,2.632993161855452
221,042098,1.943928099999999e-09,1,3.8284271247461903
"116,117",024050,1.4756750731981354,2,3.0
225,044099,1.9669224999999967e-09,1,3.8284271247461903
"278,279",050120,0.8950276253910373,2,3.0
284,050124,2.1864976000000003e-09,1,3.8284271247461903
"384,383",073181,0.28238203592015315,2,3.0
177,033075,1.6777215999999981e-09,1,3.8284271247461903
"84,85",017035,1.879282219163353,2,3.0
"176,175",032076,0.03076923160187892,2,3.0
244,048106,2.0557155999999953e-09,1,3.8284271247461903
431,082209,3.0371120999999983e-09,1,3.8284271247461903
336,062147,2.4830288999999925e-09,1,3.8284271247461903
359,068166,2.74471209999999e-09,1,3.8284271247461903
"72,73,74,71",015031,0.15043388939297406,4,2.414213562373095
421,082200,2.980068099999983e-09,1,3.8284271247461903
"160,158,159",030066,0.07710578585103346,3,2.632993161855452
219,042096,1.9219456e-09,1,3.8284271247461903
270,050115,2.1313918889999965e-09,1,3.8284271247461903
347,064157,2.6481315999999906e-09,1,3.8284271247461903
"8,9,7",003006,0.03851851873564626,3,2.632993161855452
"429,430",082208,0.34993573416082435,2,3.0
48,010021,8.80308899999999e-10,1,3.8284271247461903
289,052123,2.220294399999995e-09,1,3.8284271247461903
