abs_idxs,rel_idxs,iso_idxs,dof,redchisq,lim
,377,"0,1",0,0.0,100
"0,3","469,470,471,94","2,3,4,5",2,3.4711766765765333,3.0
"10,7","95,472,473,474,475,476,477,478,479,96,480,481,483,484,485,486,487,488,482","6,7,8,9,10",16,10.12293091524875,1.7071067811865475
12,"489,490,491","11,12,13,14",0,8.923988990312696e-28,100
15,,15,0,0.0,100
17,,16,0,0.0,100
"24,27,20","97,98,99,181,182","17,18,19",5,1.0730048365234073,2.264911064067352
"32,29",100,"20,21",1,0.9832825375689838,3.8284271247461903
"34,37,39","101,102,103,104,105,106,183,184","24,22,23",8,0.49901268749275335,2.0
42,,25,0,0.0,100
"48,49,45","107,108,492,493,495,496,494,497,498,499,500,501,185,186,187","32,33,34,35,36,26,27,28,29,30,31",7,0.19111671504333458,2.0690449676496976
51,"512,502,503,504,505,506,507,508,509,510,511","37,38,39,40,41,42,43,44,45,46,47,48",0,3.1847925179620715e-28,100
"57,53,55","190,189,188,109,110,111","49,50,51",6,0.390437209127813,2.1547005383792515
59,,52,0,0.0,100
,202,"53,54",0,0.0,100
"65,68,62","112,113,192,193,191","56,57,55",5,1.8189781632181514,2.264911064067352
71,,58,0,0.0,100
"80,82,75","194,114,115,195,196,116","59,60,61",6,1.0373460567949737,2.1547005383792515
84,,62,0,0.0,100
86,,63,0,0.0,100
"90,92,87","513,514,515,516,197,517,198,520,518,519,521,522,523,524,525","64,65,66,67,68,69,70,71,72,73,74,75,76,77",4,0.030202372568172084,2.414213562373095
"99,95","199,526,527,528,529,530,531,532,533,534","78,79,80,81,82,83,84,85,86,87",2,0.008559271014371428,3.0
"100,102,103,104,105,106","200,201,203,204,205,206,207,208,535,536,537,538,539,540,541,542,543,544,117,118,119,120","96,97,98,88,89,90,91,92,93,94,95",17,0.5875230885405014,1.6859943405700353
108,"545,546,547,548,549,550,551,552,553,554,555,556","99,100,101,102,103",8,0.3259589477179128,2.0
"113,114,109,110,111","128,209,210,211,212,213,214,557,558,559,560,561,562,121,122,123,124,125,126,127","104,105,106,107,108,109,110",18,0.38568358254584806,1.6666666666666665
115,,111,0,0.0,100
"121,122,116,118","129,130,131,132,133,134,563,564,565,215,216,217,218","112,113,114,115",13,3.419959510224322,1.7844645405527362
124,"566,567,568,569,570,571","116,117,118,119,120,121,122",0,2.8028900851354276e-27,100
"130,131,125,127","135,136,219,220,221","123,124,125,126",5,0.16361377389086046,2.264911064067352
133,,127,0,0.0,100
"144,146,149,135,140","224,225,223,574,137,138,139,140,141,142,143,572,573,222,575","128,129,130,131,132",15,0.7330197497995177,1.7302967433402214
"154,151","144,226","133,134",2,0.05022349935083717,3.0
"161,164,156,158","576,227,228,229,145,146,147,148,149,150,151,152","135,136,137,138,139",11,1.3924522617547679,1.8528028654224418
"166,167",230,"140,141",1,0.10133744938657609,3.8284271247461903
"168,170,172,173,175","231,232,233,234,153,154,155,156","142,143,144,145,146",8,0.3987165850223091,2.0
177,,147,0,0.0,100
178,,148,0,0.0,100
"179,181,182,184,187","235,236,237,238","149,150,151,152,153",4,0.23329561520463343,2.414213562373095
"189,190",239,"154,155",1,0.04996153391323978,3.8284271247461903
"192,193,194,195,196,191","577,578,579,580,581,582,583,584,585,586,587,588,589,590,591,592,593,594,595,596,597,598,599,240,241,242,243,244","156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179",10,0.04450888891888023,1.8944271909999157
"197,198","600,601,602,603,604,605,606,607,608,609,610,611,612,613,614,615,616,617,618,619,620,621,245","180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202",2,0.10645229848217072,3.0
"200,201,202,199","640,641,642,643,644,246,247,248,622,623,624,625,626,627,628,629,630,631,632,633,634,635,636,637,638,639","203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226",6,0.8976222645700251,2.1547005383792515
204,"645,646,647,648,649,650,651,652,653,654,655,656,657,658,659,660","227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242",1,0.0011083031634740045,3.8284271247461903
"208,210,211,212,207","661,662,663,664,665,666,667,668,669,158,157,672,673,670,671,249,250,251,252","256,243,244,245,246,247,248,249,250,251,252,253,254,255",10,1.1585072439733373,1.8944271909999157
213,"674,675,676,677,678,679","257,258,259,260,261,262,263",0,7.017965726532121e-23,100
"216,217,218,219,220,221,222","256,257,258,259,260,159,160,161,162,680,681,682,683,684,685,686,687,688,689,690,691,692,693,378,379,253,254,255","264,265,266,267,268,269,270,271,272,273,274,275,276,277,278",20,2.3146997410932686,1.632455532033676
"224,225,226,227,228,229,223","261,262,263,264,265,266,694,695,696,697,698,699,700","279,280,281,282,283,284,285",13,0.32664129368624195,1.7844645405527362
230,,286,0,0.0,100
"231,232,234,235,237,239","704,267,268,269,270,271,701,702,703","288,289,290,291,292,287",9,1.014492187875371,1.9428090415820634
"242,243","272,705,706,707,708,709","293,294,295,296,297,298",2,3.300720015825632,3.0
"257,244,245,246,248,249,251,252","710,711,712,713,714,715,716,717,718,719,720,721,722,723,724,725,278,279,277,275,276,274,273,163,164,165,166,380,381,382,383","299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315",22,11.92168008065532,1.6030226891555273
"259,260","726,727,728,280,729,730,731,732,733,734,736,737,738,739,740,741,742,735,743,744,745,746,747,748","316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339",2,0.8665970932048144,3.0
"263,264,265,267,268,270,271,272,274,276,278,280,281,283,284,285","384,768,769,770,771,772,773,281,282,283,284,285,286,287,288,289,290,291,292,167,168,169,170,749,750,751,752,753,754,755,756,757,758,759,760,761,762,763,764,765,766,767","340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364",33,10.34337526642276,1.492365963917331
"286,287","385,293","365,366",2,0.14847463571202094,3.0
"288,289,290,291,292,294,295","386,387,388,774,775,776,777,778,779,780,781,782,783,784,785,294,295,296,297,298,299","367,368,369,370,371,372,373,374,375,376,377,378,379",15,0.8521600546897276,1.7302967433402214
296,,380,0,0.0,100
"298,299,300,301,302,303,304,305,306","786,787,788,789,790,791,792,793,794,795,796,797,798,799,800,801,802,803,804,805,806,807,300,301,302,303,304,305,306,307","384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,381,382,383",16,0.6711987084754012,1.7071067811865475
