Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
1,1,1,2,3.8211999430596832,0.0014999999993102007,,R1-R0,kalpha,,377
2,3,2,4,-0.29074737814208773,0.0008467611270284994,,R3-R2,isoe,"5,6,4,1,3,0,2","94,470,471,469"
2,4,2,6,1.466000000013167,0.0339998198839958,,R4**2-R3**2,ois,"5,6,4,1,3,0,2","94,470,471,469"
2,4,2,8,0.9109998892826594,0.09499949558004335,,R5**2-R3**2,ois,"5,6,4,1,3,0,2","94,470,471,469"
3,6,3,7,-0.14365886986250986,0.0022550342666322913,,R7-R6,isoe,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
3,6,3,8,-1.2218467931846861,0.021514686026323154,,R8**2-R6**2,ois,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
3,6,3,9,-1.655533530635351,0.020700448337933216,,R9**2-R6**2,ois,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
3,6,3,11,-0.5483004777834228,0.05262432569168682,,R10**2-R6**2,ois,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
3,7,3,8,-0.5092422989230636,0.02133262188562375,,R8**2-R7**2,ois,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
3,7,3,9,-0.9429290363737284,0.020407806462776675,,R9**2-R7**2,ois,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
3,7,3,11,0.1643040164781997,0.05271302138850074,,R10**2-R7**2,ois,"10,11,9,7,8","477,483,479,96,484,485,478,480,473,488,481,476,486,475,474,95,482,472,487"
4,7,4,9,-0.660000000000001,0.04999975009965105,,R12**2-R11**2,ois,"12,14,13","491,489,490"
4,9,4,10,-0.79,0.07999959973006847,,R13**2-R12**2,ois,"12,14,13","491,489,490"
4,9,4,11,-0.2800001806105801,0.04999974988973295,,R14**2-R12**2,ois,"12,14,13","491,489,490"
6,12,6,13,-0.008994378071532694,0.0038137046092348355,,R18-R17,isoe,"21,39,34,24,45,41,26,30,46,47,44,36,35,20,31,29,43,23,42,28,22,25,40,27","6,181,4,1,3,98,7,182,0,97,5,99"
6,12,6,14,0.025867273820142422,0.007609011704220207,,R19-R17,isoe,"21,39,34,24,45,41,26,30,46,47,44,36,35,20,31,29,43,23,42,28,22,25,40,27","6,181,4,1,3,98,7,182,0,97,5,99"
7,14,7,15,0.05021964767395426,0.00856401295347057,,R21-R20,isoe,"21,39,34,45,33,41,30,46,47,44,36,35,20,31,29,43,23,42,32,22,40","100,6,4,1,3,7,0,5"
8,16,8,17,-0.00579170158515474,0.005672894522771762,,R23-R22,isoe,"21,39,34,45,41,30,46,47,44,36,35,20,31,29,43,37,38,23,42,22,40","102,184,6,4,1,104,105,3,7,103,0,101,5,106,183"
8,16,8,18,0.07307802219838155,0.002852518840634663,,R24-R22,isoe,"21,39,34,45,41,30,46,47,44,36,35,20,31,29,43,37,38,23,42,22,40","102,184,6,4,1,104,105,3,7,103,0,101,5,106,183"
10,17,10,20,-0.22000000001198217,0.1519992208151434,,R29**2-R26**2,ois,"21,39,34,45,41,30,46,54,47,44,36,35,52,20,50,31,29,43,48,23,51,42,22,40,49,53","10,6,3,7,494,498,0,1,492,108,499,185,501,5,9,493,497,8,496,495,4,187,107,500,186"
10,18,10,20,0.20699999998812046,0.1269993481220368,,R29**2-R27**2,ois,"21,39,34,45,41,30,46,54,47,44,36,35,52,20,50,31,29,43,48,23,51,42,22,40,49,53","10,6,3,7,494,498,0,1,492,108,499,185,501,5,9,493,497,8,496,495,4,187,107,500,186"
10,19,10,20,-0.017000000011938354,0.0599996922301057,,R29**2-R28**2,ois,"21,39,34,45,41,30,46,54,47,44,36,35,52,20,50,31,29,43,48,23,51,42,22,40,49,53","10,6,3,7,494,498,0,1,492,108,499,185,501,5,9,493,497,8,496,495,4,187,107,500,186"
10,20,10,21,-0.03785427481363923,0.0023447965280579556,,R30-R29,isom,"21,39,34,45,41,30,46,54,47,44,36,35,52,20,50,31,29,43,48,23,51,42,22,40,49,53","10,6,3,7,494,498,0,1,492,108,499,185,501,5,9,493,497,8,496,495,4,187,107,500,186"
10,20,10,22,-0.05114928305629585,0.002149156237048471,,R31-R29,isoe,"21,39,34,45,41,30,46,54,47,44,36,35,52,20,50,31,29,43,48,23,51,42,22,40,49,53","10,6,3,7,494,498,0,1,492,108,499,185,501,5,9,493,497,8,496,495,4,187,107,500,186"
