Iso_Idxs,Value,Unc,RefRemarks,Term,Include,Table
002003,1.877,0.019,"Re84bel-scatt.      Contains  Co65, MC70, MC77, Sz77, Du83",R002003,,abs
002003,1.976,0.015,Ot85el-scatt.,R002003,,abs
002003,1.959,0.03,Am94el-scatt.,R002003,,abs
002004,1.676,0.008,"Si82el-scatt.       Re-anal. of Fr66a, Fr67, Er68, MC77, Ar78",R002004,,abs
002004,1.671,0.014,Ot85el-scatt.,R002004,,abs
002004,1.687,0.006,He76mu-Xray      Re-analysis of exp. Be75,R002004,,abs
002004,1.673,0.003,Ca77mu-Xray      Re-analysed in Bo78 (theor),R002004,,abs
003006,2.54,0.05,Su67el-scatt.,R003006,,abs
003006,2.56,0.05,Li71ael-scatt.,R003006,,abs
003006,2.57,0.1,Bu72el-scatt.      See also Vr87,R003006,,abs
003007,2.39,0.06,Su67el-scatt.,R003007,,abs
003007,2.41,0.1,Bu72el-scatt.      See also Vr87,R003007,,abs
004009,2.519,0.012,Ja72el-scatt.,R004009,,abs
004009,2.5,0.09,Fe73ael-scatt.      Re-analysis of Be67a,R004009,,abs
004009,2.39,0.1637,Sc80amu-Xray      From Fr95 Table III.A.      Error estimated,R004009,,abs
005010,2.4,0.09,Do86el-scatt.      Preliminary,R005010,,abs
005010,2.44,0.06,Ol81mu-Xray,R005010,,abs
005011,2.37,0.1,Ri71el-scatt.      From  Vr87,R005011,,abs
005011,2.452,0.0482,Sc80amu-Xray      From Fr95 Table III.A.      Error estimated,R005011,,abs
005011,2.38,0.04,Ol81mu-Xray,R005011,,abs
006012,2.469,0.004,"Si82el-scatt.      Re-analysis of  Si70a, Ja72, Ca80a, Re82",R006012,,abs
006012,2.4757,0.009,Of88el-scatt.      Without disp. corr!    With DC.: 2.4832 fm,R006012,,abs
006012,2.4777,0.0055,Of91el-scatt.      Without disp. corr!    F-B anal. in Fr95 T. IX.,R006012,,abs
006012,2.468,0.0034,"Fr95mu-Xray      Table III.A.      Includes Sc82, Ru84",R006012,,abs
006013,2.44,0.025,He70ael-scatt.,R006013,,abs
006013,2.4628,0.0039,Bo85mu-Xray,R006013,,abs
006013,2.466,0.0144,Fr95mu-Xray      Table III.A.      Includes Sc82,R006013,,abs
006014,2.59,0.05,Kl73el-scatt.,R006014,,abs
006014,2.492,0.0111,Sc82mu-Xray,R006014,,abs
007014,2.54,0.02,Sc75el-scatt.,R007014,,abs
007014,2.524,0.023,La82el-scatt.      From  Vr87,R007014,,abs
007014,2.56,0.0098,Sc80amu-Xray      From Fr95 Table III.A.      Error estimated,R007014,,abs
007015,2.58,0.026,Sc75el-scatt.,R007015,,abs
007015,2.613,0.009,Vr88el-scatt.     F-B anal. in Fr95 Table IX.,R007015,,abs
008016,2.712,0.012,"Si80ael-scatt.      From  Ba80(mu-Xray): ""Priv. comm. I.Sick""",R008016,,abs
008016,2.728,0.008,La82el-scatt.      Priv. comm. from  J.Friedrich,R008016,,abs
008016,2.693,0.0035,Fr92mu-Xray      Re-analysed in Fr95,R008016,,abs
008017,2.662,0.026,Si70ael-scatt.,R008017,,abs
008017,2.71,0.015,Ki78el-scatt.      Measured: ratio  17O/16O = 1.0015(25),R008017,,abs
008018,2.727,0.02,Si70ael-scatt.,R008018,,abs
008018,2.789,0.028,Sc75el-scatt.,R008018,,abs
008018,2.778,0.02,Ba80mu-Xray      From Fr92.     Error: .014+model dep.,R008018,,abs
009019,2.885,0.015,Ha73bel-scatt.,R009019,,abs
009019,2.898,0.011,Sc78mu-Xray      Model+Syst+Nuclpol = .001,R009019,,abs
009019,2.898,0.0029,Fr92mu-Xray      Re-analysed in Fr95,R009019,,abs
010020,3.004,0.025,Kn81el-scatt.,R010020,,abs
010020,2.992,0.012,Be85el-scatt.      From Vr87.      Error: 1.5x0.008  for syst.,R010020,,abs
010020,3.006,0.0041,Fr92mu-Xray      Re-analysed in Fr95,R010020,,abs
010021,2.967,0.0036,Fr92mu-Xray      Re-analysed in Fr95,R010021,,abs
010022,2.969,0.021,Mo71el-scatt.,R010022,,abs
010022,2.954,0.0036,Fr92mu-Xray      Re-analysed in Fr95,R010022,,abs
011023,2.986,0.01,Sc78mu-Xray      Contains  Du76.     Mod+Syst+Nuclp =.001,R011023,,abs
011023,2.994,0.0025,Fr92mu-Xray      Re-analysed in Fr95,R011023,,abs
012024,3.075,0.015,Av74el-scatt.      From Vr87.,R012024,,abs
012024,3.057,0.0024,Fr92mu-Xray      Re-analysed in Fr95,R012024,,abs
012025,3.003,0.011,Eu77ael-scatt.,R012025,,abs
012025,3.029,0.0024,Fr92mu-Xray      Re-analysed in Fr95,R012025,,abs
012026,2.961,0.04,So88el-scatt.      F-B anal. in Fr95 Table IX.,R012026,,abs
012026,3.034,0.0025,Fr92mu-Xray      Re-analysed in Fr95,R012026,,abs
013027,3.035,0.004,Ro86el-scatt.      From Vr87.      Error: 2x0.002  for syst.,R013027,,abs
013027,3.058,0.006,Sc78mu-Xray      Model+Syst+Nuclpol = .001,R013027,,abs
013027,3.063,0.0022,Fr92mu-Xray      Re-analysed in Fr95,R013027,,abs
014028,3.085,0.017,Mi82el-scatt.      From Vr87 Table IV.,R014028,,abs
014028,3.127,0.004,Sc78mu-Xray      Model+Syst+Nuclpol = .001,R014028,,abs
014028,3.123,0.0026,Fr92mu-Xray      Re-analysed in Fr95,R014028,,abs
014029,3.125,0.051,Br77el-scatt.      Two independent experiments!,R014029,,abs
014029,3.08,0.017,Mi82el-scatt.      From Vr87 Table IV.,R014029,,abs
014029,3.12,0.0073,Fr92mu-Xray      Re-analysed in Fr95,R014029,,abs
014030,3.173,0.025,Mi82el-scatt.      From Vr87 Table IV.,R014030,,abs
