abs_idxs,rel_idxs,iso_idxs,dof,redchisq,lim
0,,2,0,0.0,100
3,,3,0,0.0,100
7,,6,0,0.0,100
10,,7,0,0.0,100
342,,519,0,0.0,100
"344,340,343","78,79","521,533,502",2,0.09696400724934968,3.0
12,,12,0,0.0,100
15,,15,0,0.0,100
17,,16,0,0.0,100
"34,20,29","0,1,3","17,20,22",3,1.8894397304926276,2.632993161855452
24,,18,0,0.0,100
27,,19,0,0.0,100
32,,21,0,0.0,100
"42,45,39","5,6,7","24,25,29",3,0.17888497189720923,2.632993161855452
"352,349",80,"538,565",1,0.6179004120350907,3.8284271247461903
37,,23,0,0.0,100
345,,534,0,0.0,100
48,,30,0,0.0,100
"49,51,53","8,9,10","40,49,31",3,0.01929635318310167,2.632993161855452
346,,535,0,0.0,100
347,,536,0,0.0,100
348,,537,0,0.0,100
350,,549,0,0.0,100
55,,50,0,0.0,100
"57,59,62","11,12,13","51,52,55",3,0.36685708204024864,2.632993161855452
351,,564,0,0.0,100
"355,359",81,"590,567",1,2.1058303939624023,3.8284271247461903
65,,56,0,0.0,100
"75,71",15,"58,59",1,0.5325186213893265,3.8284271247461903
"80,87",16,"60,68",1,0.21102127734006676,3.8284271247461903
68,,57,0,0.0,100
82,,61,0,0.0,100
84,,62,0,0.0,100
86,,63,0,0.0,100
357,,581,0,0.0,100
90,,70,0,0.0,100
92,,72,0,0.0,100
"100,95",17,"89,79",1,0.04272718996596833,3.8284271247461903
360,,591,0,0.0,100
"99,102",19,"81,91",1,0.007574568191174335,3.8284271247461903
361,,592,0,0.0,100
363,,593,0,0.0,100
103,,92,0,0.0,100
"104,108,109","20,21,22","106,93,102",3,0.011416699686767444,2.632993161855452
"105,116,111","24,23","112,108,95",2,0.006308849266607578,3.0
"114,115,118,106,125","25,26,27,28,29","97,110,111,113,123",5,0.13873797437303612,2.264911064067352
365,,609,0,0.0,100
110,,107,0,0.0,100
113,,109,0,0.0,100
121,,114,0,0.0,100
"135,122,124,127","32,33,30,31","128,121,115,124",4,0.12615344103444884,2.414213562373095
371,,633,0,0.0,100
366,,630,0,0.0,100
367,,631,0,0.0,100
369,,632,0,0.0,100
"378,372",82,"634,661",1,0.026088612660428938,3.8284271247461903
130,,125,0,0.0,100
"131,140,133","34,36,37","129,126,127",3,0.07863444341519497,2.632993161855452
144,,130,0,0.0,100
"146,156,151","40,41,38","131,133,135",3,0.2504028312256178,2.632993161855452
"154,149,158","42,43,44","136,132,134",3,0.2083646153793354,2.632993161855452
375,,636,0,0.0,100
"168,161,166","45,46","138,140,142",2,0.5727176687337212,3.0
164,,139,0,0.0,100
167,,141,0,0.0,100
170,,143,0,0.0,100
172,,144,0,0.0,100
"177,179,173","48,47","145,147,149",2,0.0693544279203312,3.0
175,,146,0,0.0,100
178,,148,0,0.0,100
