Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
6,12,7,14,0.08312854658028002,0.008899724253228157,,R20-R17,noniso,"34,22,31,23,30,29,36,20,35,21","1,0,3"
6,12,8,16,0.2362801249049964,0.007655083652007121,,R22-R17,noniso,"34,22,31,23,30,29,36,20,35,21","1,0,3"
7,14,8,16,0.15315157832471638,0.010519796167258472,,R22-R20,noniso,"34,22,31,23,30,29,36,20,35,21","1,0,3"
8,18,9,19,0.1273306017715159,0.007757839977480539,,R25-R24,noniso,"47,46,45,43,41,39,44,40,42","6,5,7"
8,18,10,20,0.23382775541679646,0.007835305643413051,,R29-R24,noniso,"47,46,45,43,41,39,44,40,42","6,5,7"
9,19,10,20,0.10649715364528056,0.003113888454371962,,R29-R25,noniso,"47,46,45,43,41,39,44,40,42","6,5,7"
10,22,11,23,0.038870020578890774,0.002248616898963224,,R40-R31,noniso,"52,49,50,51,54,53","8,10,9"
10,22,12,24,0.10226259154478168,0.00224456178682271,,R49-R31,noniso,"52,49,50,51,54,53","8,10,9"
11,23,12,24,0.0633925709658909,0.0023959180196488667,,R49-R40,noniso,"52,49,50,51,54,53","8,10,9"
12,26,13,27,0.027567956478015798,0.002069455043709107,,R52-R51,noniso,"57,60,63,59,62,64,58,61","11,13,12"
12,26,14,28,0.08823101593829596,0.0022349033733863083,,R55-R51,noniso,"57,60,63,59,62,64,58,61","11,13,12"
13,27,14,28,0.060663059460280166,0.0025283156274387075,,R55-R52,noniso,"57,60,63,59,62,64,58,61","11,13,12"
15,31,16,32,0.07122738177714849,0.001985535804711442,,R59-R58,noniso,"71,79,72,77,78,73,74,75,76",15
16,34,18,36,0.10437735467150278,0.002419855086591613,,R68-R60,noniso,"80,81,87,89,88",16
19,39,20,40,0.042469850650331153,0.0021673438420566566,,R89-R79,noniso,"101,95,98,97,96,100",17
19,41,20,42,0.05622859175230488,0.003772029748893041,,R91-R81,noniso,"99,102",19
20,44,21,45,0.027559121515587925,0.002189826169152091,,R102-R93,noniso,"108,109,104","20,22,21"
20,44,22,46,0.08726107192331378,0.00212618452816615,,R106-R93,noniso,"108,109,104","20,22,21"
20,46,22,48,0.09335545368404174,0.005178195755386534,,R108-R95,noniso,"116,112,105,111,117","24,23"
20,48,22,50,0.09333897229582577,0.002451774947255167,,R110-R97,noniso,"118,120,126,125,106,114,107,119,115","26,27,25,28,29"
21,45,22,46,0.05970195040772586,0.0026351063782559326,,R106-R102,noniso,"108,109,104","20,22,21"
22,48,24,50,0.06845712563308082,0.003947495582534244,,R112-R108,noniso,"116,112,105,111,117","24,23"
22,50,23,51,0.027950046550322405,0.001883668569297691,,R111-R110,noniso,"118,120,126,125,106,114,107,119,115","26,27,25,28,29"
22,50,24,52,0.07003089534714935,0.0018590754986221377,,R113-R110,noniso,"118,120,126,125,106,114,107,119,115","26,27,25,28,29"
23,51,24,52,0.04208084879682694,0.002383352754772754,,R113-R111,noniso,"118,120,126,125,106,114,107,119,115","26,27,25,28,29"
24,52,26,54,0.050957928254052653,0.0039238168607398,,R123-R113,noniso,"118,120,126,125,106,114,107,119,115","26,27,25,28,29"
24,54,25,55,0.019343417281552977,0.0017872769598975089,,R121-R115,noniso,"137,123,122,135,128,129,139,138,136,124,127","31,32,30,33"
24,54,26,56,0.05027259781900373,0.0017864846216216223,,R124-R115,noniso,"137,123,122,135,128,129,139,138,136,124,127","31,32,30,33"
25,55,26,56,0.03092918053745075,0.002196807040786735,,R124-R121,noniso,"137,123,122,135,128,129,139,138,136,124,127","31,32,30,33"
26,56,28,58,0.03824610501588355,0.0016842819877717716,,R128-R124,noniso,"137,123,122,135,128,129,139,138,136,124,127","31,32,30,33"
26,58,27,59,0.012750076224687046,0.0017838975931770557,,R127-R126,noniso,"134,140,131,143,142,133,141,132","35,34,37,36"
26,58,28,60,0.03710515070597209,0.0017524577866317086,,R129-R126,noniso,"134,140,131,143,142,133,141,132","35,34,37,36"
27,59,28,60,0.024355074481285044,0.0019848086521194685,,R129-R127,noniso,"134,140,131,143,142,133,141,132","35,34,37,36"
