abs_idxs,rel_idxs,iso_idxs,dof,redchisq,lim
,"78,79","521,533,502",0,0.0,100
,"0,1,3","17,20,22",1,0.03390638350638511,3.8284271247461903
,"5,6,7","24,25,29",1,0.0049234549564091245,3.8284271247461903
,80,"538,565",0,0.0,100
,"8,9,10","40,49,31",1,0.07905288274861402,3.8284271247461903
,"11,12,13","51,52,55",1,0.03184521691195502,3.8284271247461903
,81,"590,567",0,0.0,100
,15,"58,59",0,0.0,100
,16,"60,68",0,0.0,100
,17,"89,79",0,0.0,100
,19,"81,91",0,0.0,100
,"20,21,22","106,93,102",1,7.846563983239318e-05,3.8284271247461903
,"24,23","112,108,95",0,0.0,100
,"25,26,27,28,29","97,110,111,113,123",1,0.006386097793176231,3.8284271247461903
,"32,33,30,31","128,121,115,124",1,0.03578784397055097,3.8284271247461903
,82,"634,661",0,0.0,100
,"34,35,36,37","129,126,127",2,0.042211487100298664,3.0
,"38,39,40,41","131,133,135",2,0.875353749151595,3.0
,"42,43,44","136,132,134",1,0.00018518518518517005,3.8284271247461903
,"45,46","138,140,142",0,0.0,100
,"48,47","145,147,149",0,0.0,100
,49,"154,151",0,0.0,100
,"50,51","152,155,165",0,0.0,100
,"83,84","665,667,669",0,0.0,100
,"52,53,54,55,56,57","230,169,266,214,246,191",1,0.027112596580152585,3.8284271247461903
,87,"726,710",0,0.0,100
,"58,59","248,267,260",0,0.0,100
,90,"768,795",0,0.0,100
,92,"770,797",0,0.0,100
,"60,61,62","272,288,284,286",0,4.243517286214527e-30,100
,93,"805,799",0,0.0,100
,"64,63","307,298,291",0,0.0,100
,"67,68","354,372,366",0,0.0,100
,"69,70","387,380,374",0,0.0,100
,"72,71","447,419,391",0,0.0,100
,"73,74,75,76,77","481,451,494,463,466,471",0,5.851193630126443e-29,100
