Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
6,12,7,14,0.09993750762895587,0.017008388433802906,,R20-R17,noniso,,"1,0,3"
6,12,8,16,0.26820998501770255,0.018612413900750996,,R22-R17,noniso,,"1,0,3"
7,14,8,16,0.16827247738874668,0.017800248041446465,,R22-R20,noniso,,"1,0,3"
8,18,9,19,0.1245479890338426,0.008845782882110407,,R25-R24,noniso,,"6,5,7"
8,18,10,20,0.23076961149194272,0.008914115467391064,,R29-R24,noniso,,"6,5,7"
9,19,10,20,0.10622162245810013,0.0041437938975758285,,R29-R25,noniso,,"6,5,7"
10,22,11,23,0.03894551579826687,0.002729986583586963,,R40-R31,noniso,,"8,10,9"
10,22,12,24,0.10191333421171805,0.002682098327634298,,R49-R31,noniso,,"8,10,9"
11,23,12,24,0.06296781841345118,0.003245452262068086,,R49-R40,noniso,,"8,10,9"
12,26,13,27,0.02798748058587188,0.0021719523584350694,,R52-R51,noniso,,"11,13,12"
12,26,14,28,0.08745491576215336,0.002551933238708911,,R55-R51,noniso,,"11,13,12"
13,27,14,28,0.05946743517628148,0.0028113472504454153,,R55-R52,noniso,,"11,13,12"
15,31,16,32,0.0718665865889374,0.0021701383855113527,,R59-R58,noniso,,15
16,34,18,36,0.1038939492507988,0.0026388085110684613,,R68-R60,noniso,,16
19,39,20,40,0.042929118656418505,0.003104042685725028,,R89-R79,noniso,,17
19,41,20,42,0.05669999915510416,0.006600000008585002,,R91-R81,noniso,,19
20,44,21,45,0.02749715830189483,0.002497347789937539,,R102-R93,noniso,,"20,22,21"
20,44,22,46,0.08705413599231712,0.0024397757037056622,,R106-R93,noniso,,"20,22,21"
20,46,22,48,0.0931000024139881,0.00859999997583594,,R108-R95,noniso,,"24,23"
20,48,22,50,0.09370000000004197,0.0034000000030587696,,R110-R97,noniso,,"26,28,25,27,29"
21,45,22,46,0.05955697769042229,0.003170191518875084,,R106-R102,noniso,,"20,22,21"
22,48,24,50,0.0689,0.005899999986170759,,R112-R108,noniso,,"24,23"
22,50,23,51,0.027991531319230142,0.002164013952884099,,R111-R110,noniso,,"26,28,25,27,29"
22,50,24,52,0.06951107482054217,0.0020405706300995327,,R113-R110,noniso,,"26,28,25,27,29"
23,51,24,52,0.041519543501312026,0.0027539104404937045,,R113-R111,noniso,,"26,28,25,27,29"
24,52,26,54,0.051499996800615705,0.005699999997284581,,R123-R113,noniso,,"26,28,25,27,29"
24,54,25,55,0.01920331258018676,0.0019729723889171436,,R121-R115,noniso,,"31,32,30,33"
24,54,26,56,0.04989485550569097,0.0021003515579200004,,R124-R115,noniso,,"31,32,30,33"
25,55,26,56,0.03069154292550421,0.0026812845232123284,,R124-R121,noniso,,"31,32,30,33"
26,56,28,58,0.03860000057516499,0.0020000000045267536,,R128-R124,noniso,,"31,32,30,33"
26,58,27,59,0.01237036160861571,0.001681078537239399,,R127-R126,noniso,,"35,34,37,36"
26,58,28,60,0.03703879414232507,0.0018830288516258134,,R129-R126,noniso,,"35,34,37,36"
27,59,28,60,0.02466843253370936,0.0021599143099690532,,R129-R127,noniso,,"35,34,37,36"
28,62,29,63,0.0406138197666664,0.001139699402817483,,R133-R131,noniso,,"39,38,40,41"
28,62,30,64,0.08667010927417493,0.0014009968881993312,,R135-R131,noniso,,"39,38,40,41"
28,64,29,65,0.04401666592583061,0.0027386127907751408,,R134-R132,noniso,,"44,42,43"
