Energy [MeV],theta,Value,Quantity
250.0,32.0,(6.34±0.45)(2)ᵇ,Ca40
250.0,32.0,(6.34±0.45)(2)ᵇ,Ca40
250.0,35.0,(2.77±0.20)(2)ᵇ,Ca40
250.0,37.5,(1.40±0.10)(2)ᵇ,Ca40
250.0,40.0,(5.89±0.35)(1),Ca40
250.0,42.0,(3.25±0.30)(1),Ca40
250.0,44.0,(1.61±0.10)(1),Ca40
250.0,46.0,(7.95±0.80)(0),Ca40
250.0,47.0,(5.32±0.50)(0),Ca40
250.0,48.0,(3.46±0.25)(0),Ca40
250.0,49.0,(2.40±0.25)(0),Ca40
250.0,50.0,(1.62±0.15)(0),Ca40
250.0,51.0,(1.19±0.10)(0),Ca40
250.0,52.0,(8.27±0.40)(−1),Ca40
250.0,54.0,(5.38±0.40)(−1),Ca40
250.0,55.0,(4.71±0.50)(−1),Ca40
250.0,56.0,(4.32±0.30)(−1),Ca40
250.0,58.0,(4.50±0.45)(−1),Ca40
250.0,60.0,(4.82±0.30)(−1),Ca40
250.0,64.0,(4.54±0.30)(−1),Ca40
250.0,68.0,(3.24±0.25)(−1),Ca40
250.0,72.0,(2.11±0.15)(−1),Ca40
250.0,76.0,(1.18±0.10)(−1),Ca40
250.0,80.0,(6.12±0.40)(−2),Ca40
250.0,85.0,(2.23±0.15)(−2),Ca40
250.0,90.0,(6.50±0.45)(−3),Ca40
250.0,95.0,(1.42±0.10)(−3),Ca40
250.0,100.0,(2.70±0.35)(−4),Ca40
250.0,105.0,(2.13±0.25)(−4),Ca40
250.0,110.0,(3.92±0.45)(−4),Ca40
250.0,115.0,(3.13±0.55)(−4),Ca40
250.0,125.0,(2.21±0.30)(−4),Ca40
250.0,32.0,1.1±1.0ᶜ,D(Ca40-Ca48)
250.0,32.0,1.3±1.0ᵃ,D(Ca40-Ca48)
250.0,35.0,0.5±1.0ᶜ,D(Ca40-Ca48)
250.0,35.0,4.9±1.5ᵃ,D(Ca40-Ca48)
250.0,35.0,0.7±1.0ᶜ,D(Ca40-Ca48)
250.0,37.5,2.9±1.4,D(Ca40-Ca48)
250.0,37.5,3.2±1.0,D(Ca40-Ca48)
250.0,40.0,6.0±1.5,D(Ca40-Ca48)
250.0,42.0,4.9±1.0,D(Ca40-Ca48)
250.0,44.0,9.6±1.0,D(Ca40-Ca48)
250.0,46.0,9.2±1.0,D(Ca40-Ca48)
250.0,46.0,11.7±1.4,D(Ca40-Ca48)
250.0,47.0,10.2±1.3,D(Ca40-Ca48)
250.0,48.0,11.6±1.0,D(Ca40-Ca48)
250.0,49.0,12.8±1.3,D(Ca40-Ca48)
250.0,50.0,11.3±1.2,D(Ca40-Ca48)
250.0,50.0,11.5±1.0,D(Ca40-Ca48)
250.0,51.0,7.5±1.0,D(Ca40-Ca48)
250.0,52.0,−0.3±1.0,D(Ca40-Ca48)
250.0,53.0,−4.6±1.0,D(Ca40-Ca48)
250.0,54.0,−12.9±1.9,D(Ca40-Ca48)
250.0,54.0,−13.2±1.6,D(Ca40-Ca48)
250.0,55.0,−17.6±2.1,D(Ca40-Ca48)
250.0,56.0,−19.7±1.7,D(Ca40-Ca48)
250.0,58.0,−24.0±1.7,D(Ca40-Ca48)
250.0,58.0,−21.3±2.2,D(Ca40-Ca48)
250.0,60.0,−22.6±1.7,D(Ca40-Ca48)
250.0,62.0,−19.7±1.5,D(Ca40-Ca48)
250.0,64.0,−18.9±1.5,D(Ca40-Ca48)
250.0,68.0,−16.2±1.5,D(Ca40-Ca48)
250.0,72.0,−13.0±1.3,D(Ca40-Ca48)
250.0,76.0,−12.1±1.5,D(Ca40-Ca48)
