theta,D(Ti46-Ti48),D(Ti48-Ti50)
32,0.33±0.92,1.36±0.92
40,0.44±1.00,1.26±1.00
45,0.32±1.40,-0.32±1.40
50,0.63±1.10,0.32±1.10
52,1.75±1.15,1.86±1.15
54,1.35±1.25,3.45±1.25
56,2.46±1.25,1.27±1.25
58,5.20±1.35,0.17±1.35
60,2.51±1.05,2.96±1.05
62,2.02±1.10,0.16±1.10
64,-0.76±0.65,-2.55±0.65
66,-0.99±0.75,-2.51±0.75
68,-4.57±1.00,-5.30±1.00
70,-6.90±0.65,-4.33±0.65
72,-6.63±0.75,-4.72±0.65
74,-7.23±0.71,-5.00±0.77
76,-7.56±0.82,-5.81±0.79
78,-7.50±0.75,-5.63±0.76
80,-10.00±0.94,-5.91±0.98
82,-8.30±0.86,-4.60±0.86
84,-9.30±1.04,-5.56±1.11
86,-8.80±0.86,-5.24±0.81
90,-7.45±0.78,-6.22±0.80
95,-6.20±0.84,-7.02±0.82
100,-6.20±0.97,-7.35±0.95
105,-7.58±1.29,-4.21±1.24
110,...,-6.14±1.50
