theta,D(Ti46-Ti48),D(Ti48-Ti50)
38,4.2±1.5,-3.8±1.6
40,2.9±2.4,1.2±2.5
42,-1.9±1.4,-3.0±1.4
44,-5.3±2.4,-8.3±2.2
46,-4.2±2.1,-9.8±1.9
48,-9.3±1.8,-9.8±1.8
50,-8.9±1.1,-6.6±1.0
52,-3.8±1.8,-11.0±1.8
54,-8.6±1.8,-5.3±1.9
56,-9.4±2.1,-6.0±2.0
58,-6.7±0.9,-6.3±0.9
60,-3.1±2.6,-8.9±2.3
62,-2.7±2.1,-8.8±2.0
64,-7.7±3.1,-8.9±2.9
64,-7.9±1.1,-6.1±1.0
66,2.1±2.7,-8.5±2.6
68,-4.0±2.1,-8.7±1.9
70,-0.4±2.2,-6.2±2.1
72,-3.2±3.3,-12.1±3.0
74,-25.0±4.2,-4.4±3.3
76,-19.7±8.6,-11.3±7.3
76,-3.7±4.7,-18.6±4.1
78,-4.8±4.3,-27.5±3.6
80,-36.3±9.3,-17.9±6.3
80,-24.7±4.6,-10.0±3.8
84,-11.3±3.6,-18.7±3.2
86,-26.8±3.7,-10.6±3.2
90,-13.2±6.5,-13.6±6.4
94,-19.7±3.3,-17.7±3.2
98,-5.9±5.1,-16.7±4.8
102,-16.2±5.9,-6.1±5.6
106,-22.6±7.7,-6.3±6.6
110,...,-21.2±8.5
