Energy [MeV],theta,cross_section,theta_acceptance,phi_acceptance
30,60,0.4268(30)+2,±0.0,±0.0
35,60,0.2965(23)+2,,
40,60,0.2154(16)+2,,
45,60,0.1599(13)+2,,
50,60,0.1205(09)+2,,
55,60,0.9193(76)+1,,
60,60,0.7055(57)+1,,
65,60,0.5507(44)+1,,
70,60,0.4296(35)+1,,
75,60,0.3337(25)+1,,
80,60,0.2666(20)+1,,
85,60,0.2082(16)+1,,
30,120,0.1297(09)+1,,
35,120,0.8156(72)+0,,
40,120,0.5215(39)+0,,
45,120,0.3428(29)+0,,
50,120,0.2160(19)+0,,
55,120,0.1404(14)+0,,
60,120,0.8759(82)-1,,
65,120,0.5462(46)-1,,
70,120,0.3286(32)-1,,
75,120,0.1960(20)-1,,
80,120,0.1100(09)-1,,
85,120,0.5968(50)-2,,
35,200,0.1275(28)+1,±0.3,±0.3
38.05,200,0.606(15)+0,,
41,200,0.2981(72)+0,,
45,200,0.1040(26)+0,,
50,200,0.2524(64)-1,±0.4,±1.15
55,200,0.523(13)-2,,
60,200,0.1458(37)-2,±0.4,±4.0
65,200,0.1125(33)-2,±0.9,±2.9
70,200,0.1078(31)-2,,
75,200,0.933(29)-3,,
80,200,0.602(18)-3,,
85.06,200,0.345(12)-3,,
90,200,0.1939(70)-3,,
95,200,0.856(34)-4,,
38,200,0.612(14)-4,±0.3,±0.3
35,401.6,0.422(17)-2,±0.9,±2.7
40,401.6,0.1991(83)-2,,
47.5,401.6,0.1413(59)-3,±1.0,±4.0
60,401.6,0.866(36)-5,±0.9,±2.7
62.4,401.6,0.670(28)-5,,
67.5,401.6,0.2699(96)-5,±1.0,±4.0
72.5,401.6,0.708(52)-6,,
77.4,401.6,0.41(13)-7,,
35,398.2,0.487(20)-2,±0.9,±2.7
37.5,398.2,0.338(13)-2,±1.08,±4.0
40,398.2,0.2200(91)-2,,
42.5,398.2,0.1039(43)-2,,
47.5,398.2,0.1541(63)-3,,
52.5,398.2,0.895(37)-5,,
55,398.2,0.569(23)-5,,
57.5,398.2,0.750(31)-5,,
60,398.2,0.981(41)-5,,
62.5,398.2,0.700(29)-5,,
65,398.2,0.504(21)-5,,
70,398.2,0.1554(63)-5,,
75,398.2,0.360(38)-6,,
80,398.2,0.31(15)-7,,
