Energy [MeV],theta,Cr52/Cr50,Cr54/Cr52,Cr54/Cr50
30,60,0.9977(53),1.0019(58),0.9995(31)
35,60,1.0108(57),0.9896(55),1.0003(30)
40,60,1.0046(88),0.9903(59),0.9949(54)
45,60,1.0025(61),0.9919(58),0.9944(35)
50,60,1.0091(67),0.9885(56),0.9975(40)
55,60,1.0028(64),0.9888(70),0.9916(44)
60,60,1.0155(75),0.9800(73),0.9952(44)
65,60,0.9993(68),0.9880(63),0.9873(39)
70,60,1.0057(70),0.9808(73),0.9864(46)
75,60,1.0059(64),0.9809(60),0.9867(36)
80,60,1.0052(95),0.9816(78),0.9867(46)
85,60,1.0071(72),0.9747(64),0.9816(41)
30,120,0.9946(56),1.0062(58),1.0008(40)
35,120,0.9985(64),0.9891(67),0.9876(38)
40,120,1.0006(76),0.9864(67),0.9869(42)
45,120,1.0110(72),0.9794(68),0.9902(35)
50,120,1.0172(55),0.9587(57),0.9752(37)
55,120,1.0210(59),0.9610(54),0.9811(37)
60,120,1.0206(75),0.9495(70),0.9690(50)
65,120,1.0188(71),0.9430(56),0.9608(41)
70,120,1.0174(85),0.9348(84),0.9511(53)
75,120,1.0272(68),0.9254(57),0.9505(38)
80,120,1.0118(74),0.9151(60),0.9259(41)
85,120,1.0258(88),0.8989(74),0.9221(35)
