54Fe,1260.011(45),0.546,9.768,3.98097,3.7,0.074,2.121,-18.1,4.7387(8)
56Fe,1257.054(42),0.582,9.718,4.04735,3.743,0.074,2.121,-18.1,4.7941(8)
57Fe,1255.921(51),0.6,9.701,4.07296,3.759,0.074,2.121,-18.1,4.8155(9)
58Fe,1254.485(49),0.624,9.678,4.10513,3.78,0.074,2.121,-18.1,4.8425(9)
59Co,1341.461(46),0.588,10.382,4.1245,3.793,0.075,2.121,-16.2,4.8581(7)
58Ni,1432.564(44),0.689,11.134,4.10687,3.781,0.076,2.123,-14.5,4.8428(6)
60Ni,1429.369(43),0.693,11.083,4.16295,3.818,0.076,2.123,-14.5,4.8900(6)
61Ni,1428.393(49),0.632,11.068,4.17918,3.829,0.076,2.123,-14.5,4.9037(7)
62Ni,1426.829(43),0.703,11.042,4.20767,3.847,0.076,2.123,-14.5,4.9278(6)
64Ni,1425.229(46),0.725,11.015,4.23639,3.866,0.076,2.123,-14.5,4.9521(7)
63Cu,1514.433(44),0.739,11.724,4.2691,3.888,0.078,2.127,-13.1,4.9789(6)
65Cu,1512.516(45),0.749,11.693,4.29959,3.908,0.078,2.127,-13.1,5.0048(7)
64Zn,1602.718(44),0.857,12.401,4.33742,3.933,0.079,2.13,-11.9,5.0366(5)
66Zn,1600.544(43),0.909,12.367,4.3691,3.954,0.079,2.13,-11.9,5.0637(5)
68Zn,1598.763(44),0.917,12.337,4.39462,3.971,0.079,2.13,-11.9,5.0855(5)
70Zn,1596.898(109),0.973,12.306,4.4219,3.989,0.079,2.13,-11.9,5.1088(13)
