Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
002003,1.877,0.019,"Re84b el-scatt.      Contains  Co65, MC70, MC77, Sz77, Du83","['Re84b', 'Co65', 'MC70', 'MC77', 'Sz77', 'Du83']",R002003,,absl
002003,1.976,0.015,Ot85 el-scatt.,['Ot85'],R002003,,absl
002003,1.959,0.03,Am94 el-scatt.,['Am94'],R002003,,absl
002004,1.676,0.008,"Si82 el-scatt.       Re-anal. of Fr66a, Fr67, Er68, MC77, Ar78","['Si82', 'Fr66a', 'Fr67', 'Er68', 'MC77', 'Ar78']",R002004,,absl
002004,1.671,0.014,Ot85 el-scatt.,['Ot85'],R002004,,absl
002004,1.687,0.006,He76 mu-Xray      Re-analysis of exp. Be75,"['He76', 'Be75']",R002004,,absl
002004,1.673,0.003,Ca77 mu-Xray      Re-analysed in Bo78 (theor),"['Ca77', 'Bo78']",R002004,,absl
003006,2.54,0.05,Su67 el-scatt.,['Su67'],R003006,,absl
003006,2.56,0.05,Li71a el-scatt.,['Li71a'],R003006,,absl
003006,2.57,0.1,Bu72 el-scatt.      See also Vr87,"['Bu72', 'Vr87']",R003006,,absl
003007,2.39,0.06,Su67 el-scatt.,['Su67'],R003007,,absl
003007,2.41,0.1,Bu72 el-scatt.      See also Vr87,"['Bu72', 'Vr87']",R003007,,absl
004009,2.519,0.012,Ja72 el-scatt.,['Ja72'],R004009,,absl
004009,2.5,0.09,Fe73a el-scatt.      Re-analysis of Be67a,"['Fe73a', 'Be67a']",R004009,,absl
004009,2.39,0.1637,Sc80a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sc80a', 'Fr95']",R004009,,absl
005010,2.4,0.09,Do86 el-scatt.      Preliminary,['Do86'],R005010,,absl
005010,2.44,0.06,Ol81 mu-Xray,['Ol81'],R005010,,absl
005011,2.37,0.1,Ri71 el-scatt.      From  Vr87,"['Ri71', 'Vr87']",R005011,,absl
005011,2.452,0.0482,Sc80a mu-Xray      From Fr95 Table III.A.      Error estimated,"['Sc80a', 'Fr95']",R005011,,absl
005011,2.38,0.04,Ol81 mu-Xray,['Ol81'],R005011,,absl
