Type,id,Citation,Elements,Authors,Year
Electronic,Fe47,"E.Fermi, and L.Marshall: Phys. Rev. 72 (1947) 1139 ",.............................. neutron,"E.Fermi,L.Marshall",1947
Electronic,Ha47,"W.W.Havens Jr., I.I.Rabi, and L.J.Rainwater: Phys. Rev. 72(1947)634 ",.. neutron,"W.W.HavensJr.,I.I.Rabi,L.J.Rainwater",1947
Electronic,Ha51,"W.W.Havens Jr., L.J.Rainwater, and I.I.Rabi: Phys. Rev. 82(1951 )345 ",. neutron,"W.W.HavensJr.,L.J.Rainwater,I.I.Rabi",1951
Electronic,Ly51,"E.Lyman, A.Hanson, and M.Scott: Phys. Rev. 84 (1951) 626 ","................. Cu, Ag, Au","E.Lyman,A.Hanson,M.Scott",1951
Electronic,Ha52,"M.Hamermesh, G.R.Ringo, and A.Wattenberg: Phys. Rev. 85(1952)483L  ",neutron,"M.Hamermesh,G.R.Ringo,A.Wattenberg",1952
Electronic,Ha53,"C.L.Hammer, E.C.Raka, RW.Pidd: Phys. Rev. 90 (1953) 341 ","............... Sn, W","C.L.Hammer,E.C.Raka,RW.Pidd",1953
Electronic,Ho53,"RHofstadter, H.R.Fechter, J.A.Mclntyre: Phys. Rev. 91(1953)422 ","........ ""Program initiated ... ""","RHofstadter,H.R.Fechter,J.A.Mclntyre",1953
Electronic,Ho53a,"R.Hofstadter, H.R.Fechter, J.A.Mclntyre: Phys. Rev. 92(1953)978 ","........ H,D,Be,C,Ta,Au,Pb","R.Hofstadter,H.R.Fechter,J.A.Mclntyre",1953
Electronic,Hu53,"D.J.Hughes, J.A.Harvey, et al.: Phys. Rev. 90 (1953) 497 ",...................... neutron,"D.J.Hughes,J.A.Harvey,etal.",1953
Electronic,Pi53,"R.W.Pidd, C.L.Hammer, and E.C,Raka: Phys. Rev. 92 (1953) 436 ","......... Sn, W","R.W.Pidd,C.L.Hammer,E.C,Raka",1953
Electronic,Ml54,"J.A.Mclntyre, B.Hahn, R.Hofstadter: Phys. Rev. 94 (1954) 1084 ",............ Be,"J.A.Mclntyre,B.Hahn,R.Hofstadter",1954
Electronic,Do55,"B.W.Downs, D.G.Ravenhall, D.R.Yennie: Phys. Rev. 98(1955)277(A) ",.. Ta,"B.W.Downs,D.G.Ravenhall,D.R.Yennie",1955
Electronic,Do55a,"B.D.Downs: Ph.D. Thesis, Stanford University, Oct.(1955) ","..................... Ta, Sr",B.D.Downs,1955
Electronic,Fo55,"KW.Ford, and D.L.Hill: Ann. Rev. Nuc/. Sci. 5 (1955) ","............................. Ag, Au, Sn, W","KW.Ford,D.L.Hill",1955
Electronic,Fr55,"J.H.Fregeau, and R,Hofstadter: Phys. Rev. 99 (1955) 1503 ",................... C,"J.H.Fregeau,R,Hofstadter",1955
Electronic,Ha55,"B.Hahn, and R.Hofstadter: Phys. Rev. 98 (1955) 278(A) ",........................ Ta,"B.Hahn,R.Hofstadter",1955
Electronic,Ho55,"R.Hofstadter, and R.W.McAllister: Phys. Rev. 98 (1955) 217 ",................. H,"R.Hofstadter,R.W.McAllister",1955
Electronic,Ml55,"J.A.Mclntyre, and RHofstadter: Phys. Rev. 98 (1955) 158 ",..................... D,"J.A.Mclntyre,RHofstadter",1955
Electronic,Pi55,"RW.Pidd, and C.L.Hammer: Phys. Rev. 99 (1955) 1396 ",....................... W,"RW.Pidd,C.L.Hammer",1955
Electronic,St55,J.F.Streib: Phys. Rev. 100 (1955) 1797 ,................................................... Li,J.F.Streib,1955
Electronic,Ye55,"D.RYennie, D.G.Ravenhall, B.W.Downs: Phys. Rev. 98(1955)277(A) ",.. Sr,"D.RYennie,D.G.Ravenhall,B.W.Downs",1955
Electronic,8156,"RBlankenbecler, RHofstadter: Bull. Am. Phys. Soc. Ser.//.1(1956)10 ",.. He,"RBlankenbecler,RHofstadter",1956
Electronic,Ch56,"EE.Chambers, and RHofstadter: Phys. Rev. 103 (1956) 1454 ",............. H,"EE.Chambers,RHofstadter",1956
Electronic,Cr56,"M.F.Crouch, VE.Krohn, and G.RRingo: Phys. Rev., 102 (1956) ",........... neutron,"M.F.Crouch,VE.Krohn,G.RRingo",1956
Electronic,Fr56,J.H.Fregeau: Phys. Rev. 104 (1956) 225 ,................................................ C,J.H.Fregeau,1956
Electronic,Ha56,"B.Hahn, D.G.Ravenhall, RHofstadter: Phys. Rev. 101 (1956) 1131 ","...... Ca, V, Ni, Co, In, Sb, Au, Bi","B.Hahn,D.G.Ravenhall,RHofstadter",1956
Electronic,He56,RH.Helm: Phys. Rev. 104 (1956) 1466 ,"................................................... Mg, Si, S",RH.Helm,1956
Electronic,Ho56,RHofstadter: Rev. Mod. Phys. 28 (1956) 214 ,......................................... Many; review,RHofstadter,1956
Electronic,MA56,"RW.McAllister, and RHofstadter: Phys. Rev. 102 (1956) 851 ","............... H, He","RW.McAllister,RHofstadter",1956
Electronic,Me56,"E.Melkonian, et al.: Bull. Am. Phys. Soc. 1 (1956) 62 [UA8] ",.................. neutron,"E.Melkonian,etal.",1956
Electronic,Ml56,J.A.Mclntyre: Phys. Rev. 103 (1956) 1464 ,.............................................. D,J.A.Mclntyre,1956
Electronic,Do57,"B.Downs, D.G.Ravenhall, D.RYennie: Phys. Rev. 106(1957)1285 ","........ Hf, Ta, W, U","B.Downs,D.G.Ravenhall,D.RYennie",1957
Electronic,Ha57,"B.Hahn, R.Hofstadter, D.G.Ravenhall: Phys. Rev. 105 (1957) 1353 ",...... Ni,"B.Hahn,R.Hofstadter,D.G.Ravenhall",1957
Electronic,Ho57,RHofstadter: Ann. Rev. Nucl. Sci. 7 (1957) 231 ,..................................... Many; review,RHofstadter,1957
Electronic,Mi57,"RC.Miller, and C.S.Robinson: Ann. Phys. (N. Y.) 2 (1957) 129 ","............... Al, Pb","RC.Miller,C.S.Robinson",1957
Electronic,Ml57,"J.A.Mclntyre, and S.Dhar: Phys. Rev. 106 (1957) 1074 ",.......................... D,"J.A.Mclntyre,S.Dhar",1957
Electronic,Bu58,"G.R.Burleson, and RHofstadter: Phys. Rev. 112 (1958) 1282 ",............... Li,"G.R.Burleson,RHofstadter",1958
Electronic,Fo58,L.L.Foldy: Rev. Mod. Phys. 30 (1958)471 ,.............................................. n,L.L.Foldy,1958
Electronic,Ho58,"RHofstadter, F.Bumiller, M.RYearian: Rev. Mod. Phys. 30(1958)482 ","... n, H","RHofstadter,F.Bumiller,M.RYearian",1958
Electronic,Eh59,"H.F.Ehrenberg, et al.: Phys. Rev. 113 (1959} 66C ",".................................. C, 0","H.F.Ehrenberg,etal.",1959
Electronic,Me59,"U.Meyer-Berkhout, KW.Ford, A.ES.Green: Ann. Phys. 8(1959)119 ","..... Li, Be, 8, C, N, 0","U.Meyer-Berkhout,KW.Ford,A.ES.Green",1959
Electronic,Me59a,"E.Melkonian, B.M.Rustad, W.W.Havens Jr: Phys. Rev. 114(1959)1571 ", neutron,"E.Melkonian,B.M.Rustad,W.W.HavensJr",1959
Electronic,Be60,"J.Bellicard, and P.Barreau: Nucl. Phys. 17 (1960) 141 ","........................... Au, Bi","J.Bellicard,P.Barreau",1960
Electronic,Bu60,"G.R.Burleson, and H.W.Kendall: Nucl. Phys. 19 (1960) 68 ",..................... He,"G.R.Burleson,H.W.Kendall",1960
Electronic,Bu61,"F.Bumiller, et al.: Phys. Rev. 124 (1961) 1623 ",........................................ H,"F.Bumiller,etal.",1961
Electronic,Cr61,"H.Crannell, etal.: Phys. Rev.121 (1961) 283 ","......................................... Ca, V, Co, In, Sb, Bi","H.Crannell,etal.",1961
Electronic,La61,"F.Lacoste, and G.R.Bishop: Nucl. Phys. 26 (1961) 511 ",.......................... 0,"F.Lacoste,G.R.Bishop",1961
Electronic,Be62,"J.Bellicard, and P.Barreau: Nucl. Phys. 36 (1962) 476 ",........................... Fe,"J.Bellicard,P.Barreau",1962
Electronic,Le62,"P.Lehmann, R.Taylor, R.Wilson: Phys. Rev. 126 (1962) 1183 ",................ H,"P.Lehmann,R.Taylor,R.Wilson",1962
Electronic,Be63,"K.Berkelman, et al.: Phys. Rev. 130 (1963) 2061 ",.................................... H,"K.Berkelman,etal.",1963
Electronic,Du63,"B.Dudelzak, G.Sauvage, P.Lehmann: Nuovo Cim. 28 (1963) 18 ",............ H,"B.Dudelzak,G.Sauvage,P.Lehmann",1963
Electronic,Go63,"J.Goldemberg, J.J.Pine, D.Yount: Phys. Rev. 132 (1963) 406 ","................ Co, Bi","J.Goldemberg,J.J.Pine,D.Yount",1963
Electronic,Ha63,"L.N.Hand, D.G.Miller, and R.Wilson: Rev. Mod. Phys., 35 (1963) 335 ",... H re-analysis,"L.N.Hand,D.G.Miller,R.Wilson",1963
Electronic,Re63,"J.Repellin: Diplome, Orsay, France, L.A.L. 1046 (1963) ",......................... C,J.Repellin,1046
Electronic,Be64,"J.Bellicard, P.Barreau, and D.Blum: Nucl. Phys. 60 (1964) 319 ",............. Cr,"J.Bellicard,P.Barreau,D.Blum",1964
Electronic,Bi64,"G.R.Bishop, M.Bemheim, P.Kossanyi-Demay: Nucl. Phys. 54(1964)353 …. N",,"G.R.Bishop,M.Bemheim,P.Kossanyi-Demay",1964
