iso_idx1,iso_idx2,dR,DdR,Include,Term,Table
17,20,0.098,0.02,,R20-R17,noniso
17,22,0.271,0.024,,R22-R17,noniso
19,22,0.1881416837012032,0.011648258969490607,No,R22-R19,noniso
20,22,0.166,0.02166,,R22-R20,noniso
22,29,0.279,0.023790000000000002,No,R29-R22,noniso
24,25,0.124,0.011800000000000001,,R25-R24,noniso
24,29,0.2314009542042219,0.012665649818202274,,R29-R24,noniso
25,29,0.10614994036022095,0.004267876492363919,,R29-R25,noniso
31,40,0.03935879009712083,0.0031005413681787462,,R40-R31,noniso
31,49,0.10151990850932333,0.003025165023490951,,R49-R31,noniso
40,49,0.064,0.0049,,R49-R40,noniso
51,52,0.028170118392482842,0.002401007356517295,,R52-R51,noniso
51,55,0.0871649460972635,0.003025348491683014,,R55-R51,noniso
52,55,0.06,0.0040999999999999995,,R55-R52,noniso
57,59,0.12783809118246606,0.006840532509013322,No,R59-R57,noniso
58,59,0.07186658765983307,0.0021701383832245904,,R59-R58,noniso
60,68,0.10389395079893933,0.002638808516599138,,R68-R60,noniso
79,89,0.04292911801672488,0.0031040426845081164,,R89-R79,noniso
72,91,0.08039856692487303,0.0032606921424632035,No,R91-R72,noniso
81,91,0.0567,0.0066,,R91-R81,noniso
93,102,0.02750658307939719,0.002714511960345308,,R102-R93,noniso
93,106,0.08704523049967099,0.00263879485800555,,R106-R93,noniso
102,106,0.0596,0.0058,,R106-R102,noniso
95,108,0.0931,0.0086,,R108-R95,noniso
108,112,0.0689,0.0059,,R112-R108,noniso
97,110,0.0937,0.0034,,R110-R97,noniso
110,111,0.028059537613919997,0.002325330788343092,,R111-R110,noniso
110,113,0.06945178059360044,0.00217128279709884,,R113-R110,noniso
111,113,0.0419,0.0055,,R113-R111,noniso
113,123,0.0515,0.0057,,R123-R113,noniso
115,121,0.019334700438827623,0.0020916462615441175,,R121-R115,noniso
115,124,0.0497430283212968,0.0022484654221990434,,R124-R115,noniso
121,124,0.0316,0.0055,,R124-R121,noniso
124,128,0.0386,0.002,,R128-R124,noniso
126,127,0.012788811022720656,0.002247754421200493,,R127-R126,noniso
126,127,0.012,0.0033,,R127-R126,noniso
126,129,0.036808866451504926,0.0021703522811278063,,R129-R126,noniso
127,129,0.0252,0.0033,,R129-R127,noniso
131,133,0.04055869000547241,0.0019368481288262575,,R133-R131,noniso
131,133,0.0419,0.0017000000000000001,,R133-R131,noniso
131,135,0.08517769490981066,0.0018622346187253053,,R135-R131,noniso
133,135,0.0473,0.0017000000000000001,,R135-R133,noniso
132,134,0.044,0.003,,R134-R132,noniso
132,136,0.0938,0.006,,R136-R132,noniso
134,136,0.0497,0.003,,R136-R134,noniso
138,140,0.031205364659553873,0.0018587147109677547,,R140-R138,noniso
138,142,0.07294613087817453,0.0018612844059825702,,R142-R138,noniso
145,147,0.02278430977063382,0.0017806171612310836,,R147-R145,noniso
145,149,0.06585908630855532,0.0019386983007501067,,R149-R145,noniso
151,154,0.02239825869998633,0.0017807484812567115,,R154-R151,noniso
152,155,0.019744806449813735,0.0017026618885816673,,R155-R152,noniso
152,165,0.05127632903036407,0.0018600377263919437,,R165-R152,noniso
169,191,0.014206238612230028,0.001702649931175406,,R191-R169,noniso
169,214,0.03879559073479904,0.0017036062222791507,,R214-R169,noniso
214,230,0.01826818216034472,0.0015467893360815322,,R230-R214,noniso
214,246,0.04559421472140429,0.001548404630426957,,R246-R214,noniso
246,266,0.054,0.02354,,R266-R246,noniso
246,266,0.05,0.006,,R266-R246,noniso
248,260,0.018114900357616655,0.0015468703767976583,,R260-R248,noniso
248,267,0.04622600017828018,0.0016263837049950063,,R267-R248,noniso
272,284,0.036236595393181366,0.0017818013446187797,,R284-R272,noniso
284,286,0.012262411486256165,0.0017030477331786728,,R286-R284,noniso
284,288,0.026868904877005027,0.0019376724213118412,,R288-R284,noniso
291,298,0.007889652138279432,0.0017030825776726834,,R298-R291,noniso
291,307,0.01640478217289304,0.0017032534562062404,,R307-R291,noniso
311,327,0.003828163570063033,0.001703142505332008,No,R327-R311,noniso
311,348,0.014219356171847882,0.0016251883691699499,No,R348-R311,noniso
354,372,0.051649398046981085,0.00178308787595109,,R372-R354,noniso
366,372,0.029693466718406697,0.0016258304376189736,,R372-R366,noniso
374,380,0.021802593535980262,0.001469379615847252,,R380-R374,noniso
374,387,0.047748343953320574,0.0016270036381418609,,R387-R374,noniso
391,419,0.017194064520338715,0.0014692441510097802,,R419-R391,noniso
391,447,0.04204853315682768,0.0014708241507650705,,R447-R391,noniso
451,463,0.015398282327737984,0.0014692359384803583,,R463-R451,noniso
451,466,0.03744155288922978,0.0014704886553608388,,R466-R451,noniso
466,471,0.014618277972780619,0.0014692634030865428,,R471-R466,noniso
466,481,0.03572586125499339,0.0014704070989412761,,R481-R466,noniso
481,494,0.03355851665715742,0.002783867750222788,,R494-R481,noniso
502,521,0.02865555175324809,0.0031751941903888255,,R521-R502,noniso
502,533,0.03367621784507777,0.0031758373417521838,,R533-R502,noniso
538,565,0.028227007089041026,0.0029418524159934402,,R565-R538,noniso
567,590,0.02802439149179905,0.002864519259845225,,R590-R567,noniso
634,661,0.020010517226664734,0.0032559205962759117,,R661-R634,noniso
665,667,0.009723485361443997,0.0027842876761688326,,R667-R665,noniso
665,669,0.017639109931872107,0.0027844068043140547,,R669-R665,noniso
672,678,0.016133774009571646,0.003409954950593777,No,R678-R672,noniso
681,708,0.016352654710588003,0.003252118156892099,No,R708-R681,noniso
710,726,0.004460096594549813,0.001782485797935174,,R726-R710,noniso
710,746,0.014945546790120346,0.0017826320776961745,No,R746-R710,noniso
750,768,0.004773479388179951,0.002252069266803481,No,R768-R750,noniso
768,795,0.015,0.013000000000000001,,R795-R768,noniso
752,797,0.01377294154725124,0.001704432803191878,No,R797-R752,noniso
770,797,0.029,0.013000000000000001,,R797-R770,noniso
799,805,0.014712891707077586,0.00373914169384755,,R805-R799,noniso
2,3,-0.271,0.0152,,R3-R2,isoe
6,7,-0.08,0.030199999999999998,,R7-R6,isoe
6,7,-0.13,0.030199999999999998,,R7-R6,isoe
17,18,-0.023,0.01123,,R18-R17,isoe
17,18,-0.012,0.02012,,R18-R17,isoe
17,19,0.12,0.0522,,R19-R17,isoe
20,21,0.04,0.013399999999999999,,R21-R20,isoe
22,23,-0.013,0.021130000000000003,,R23-R22,isoe
22,23,0.004,0.01604,,R23-R22,isoe
22,23,-0.008,0.0072,,R23-R22,isoe
22,24,0.053,0.01353,,R24-R22,isoe
22,24,0.07,0.0127,,R24-R22,isoe
22,24,0.074,0.0052,,R24-R22,isoe
29,31,-0.073,0.028730000000000002,,R31-R29,isoe
29,31,-0.053,0.010529999999999998,,R31-R29,isoe
49,50,0.016,0.03316,,R50-R49,isoe
49,51,-0.05,0.0465,,R51-R49,isoe
49,51,-0.019,0.033190000000000004,,R51-R49,isoe
55,56,-0.052,0.026520000000000002,,R56-R55,isoe
55,57,0.03,0.12129999999999999,,R57-R55,isoe
59,60,0.032,0.0102,,R60-R59,isoe
59,61,0.034,0.0104,,R61-R59,isoe
60,61,-0.007,0.0122,,R61-R60,isoe
89,91,0.03,0.011300000000000001,,R91-R89,isoe
89,93,0.028,0.011280000000000002,,R93-R89,isoe
89,97,-0.0107,0.0061070000000000004,,R97-R89,isoe
89,97,-0.0014,0.0034,,R97-R89,isoe
106,108,-0.005,0.03305,,R108-R106,isoe
106,108,-0.015,0.01115,,R108-R106,isoe
106,108,0.003,0.01603,,R108-R106,isoe
106,110,0.003,0.02703,,R110-R106,isoe
106,110,-0.03,0.0163,,R110-R106,isoe
106,110,-0.013,0.01613,,R110-R106,isoe
108,110,-0.02,0.011200000000000002,,R110-R108,isoe
108,110,-0.016,0.01616,,R110-R108,isoe
112,113,-0.037,0.012369999999999999,,R113-R112,isoe
112,113,-0.028,0.01828,,R113-R112,isoe
112,114,0.027,0.01827,,R114-R112,isoe
112,115,0.033,0.007330000000000001,,R115-R112,isoe
112,115,0.068,0.018680000000000002,,R115-R112,isoe
113,115,0.048,0.01048,,R115-R113,isoe
123,124,0.0445,0.001,,R124-R123,isoe
124,126,0.0382,0.0012000000000000001,,R126-R124,isoe
128,129,0.0373,0.0013000000000000002,,R129-R128,isoe
128,131,0.061,0.014609999999999998,,R131-R128,isoe
128,131,0.079,0.00779,,R131-R128,isoe
128,132,0.082,0.01682,,R132-R128,isoe
129,131,0.0286,0.001,,R131-R129,isoe
129,132,0.043,0.01643,,R132-R129,isoe
131,132,0.0181,0.0007999999999999999,,R132-R131,isoe
133,134,0.0202,0.0018019999999999998,,R134-R133,isoe
135,136,0.018,0.01218,,R136-R135,isoe
135,136,0.0225,0.0032,,R136-R135,isoe
136,138,-0.016,0.010159999999999999,,R138-R136,isoe
136,138,0.007,0.01407,,R138-R136,isoe
136,138,0.0144,0.0032,,R138-R136,isoe
138,139,0.047,0.01647,,R139-R138,isoe
138,139,0.026,0.01726,,R139-R138,isoe
138,139,0.0173,0.0027,,R139-R138,isoe
142,143,0.0168,0.0026,,R143-R142,isoe
142,146,0.0383,0.003,,R146-R142,isoe
143,145,0.0151,0.0026,,R145-R143,isoe
145,146,0.0064,0.0026,,R146-R145,isoe
246,248,0.0378,0.0022,,R248-R246,isoe
248,249,0.0211,0.005999999999999999,,R249-R248,isoe
266,267,0.04,0.0052,,R267-R266,isoe
267,269,0.028,0.0052,,R269-R267,isoe
269,271,0.028,0.0052,,R271-R269,isoe
271,272,0.039,0.0052,,R272-R271,isoe
307,309,0.03,0.0163,,R309-R307,isoe
307,313,0.061,0.01861,,R313-R307,isoe
309,311,0.021,0.01721,,R311-R309,isoe
311,313,0.01,0.0171,,R313-R311,isoe
344,350,0.019,0.01619,,R350-R344,isoe
348,350,-0.004,0.012039999999999999,,R350-R348,isoe
348,356,0.015,0.013150000000000002,,R356-R348,isoe
350,356,0.019,0.014189999999999998,,R356-R350,isoe
481,485,0.0527,0.009527,,R485-R481,isoe
481,487,0.115,0.012150000000000001,,R487-R481,isoe
485,487,0.067,0.009670000000000002,,R487-R485,isoe
498,500,0.03,0.0713,,R500-R498,isoe
498,502,0.17,0.07270000000000001,,R502-R498,isoe
498,502,0.12,0.0208,,R502-R498,isoe
502,504,0.03,0.0204,,R504-R502,isoe
797,798,0.005,0.00805,,R798-R797,isoe
797,799,0.013,0.00513,,R799-R797,isoe
798,799,0.008,0.00808,,R799-R798,isoe
17,18,-0.00225294687346084,0.013952997657306863,,R18-R17,isom
17,19,0.021519527032712163,0.010709375662109036,,R19-R17,isom
22,24,0.076,0.0052,,R24-R22,isom
22,24,0.07664661626118587,0.006884113535328934,,R24-R22,isom
29,30,-0.03834307864042721,0.0034271183813940082,,R30-R29,isom
29,31,-0.052109254947436574,0.003440884557701018,,R31-R29,isom
30,31,-0.013999501329162065,0.00565825001822552,,R31-R30,isom
49,50,-0.028556246186812358,0.0016291350782375548,,R50-R49,isom
49,51,-0.023265170599065108,0.0016238440026498076,,R51-R49,isom
50,51,0.005446695457975109,0.0025397447488758793,,R51-R50,isom
55,56,-0.004047725356453922,0.005497227037642351,,R56-R55,isom
55,57,0.010742040369050793,0.005503921352654947,,R57-R55,isom
