Z1,A1,Z2,A2,dR,DdR,Include,Term,Table,connect_abs_idxs,connect_rel_idxs
1,1,1,2,3.8211999430596832,0.0014999999993102007,,R1-R0,kalpha,,377
2,3,2,4,-0.27100000403821467,0.015199999984000439,,R3-R2,isoe,,94
3,6,3,7,-0.10500000156459978,0.023248870936149243,,R7-R6,isoe,,"95,96"
6,12,6,13,-0.01439171091014849,0.009132234706206282,,R18-R17,isoe,,"182,181,98,97,99"
6,12,6,14,0.025497225129524285,0.011941531831329453,,R19-R17,isoe,,"182,181,98,97,99"
7,14,7,15,0.03999999940395355,0.013400000012552685,,R21-R20,isoe,,100
8,16,8,17,-0.006605534123506132,0.0062724997345319595,,R23-R22,isoe,,"103,104,106,101,183,184,105,102"
8,16,8,18,0.0739090670865177,0.0030609791631900107,,R24-R22,isoe,,"103,104,106,101,183,184,105,102"
10,20,10,21,-0.038368763677682674,0.003034083236685309,,R30-R29,isom,,"185,186,107,187,108"
10,20,10,22,-0.05243828000816452,0.0029167620957172365,,R31-R29,isoe,,"185,186,107,187,108"
10,21,10,22,-0.014069516330481847,0.0036258033584632434,,R31-R30,isom,,"185,186,107,187,108"
12,24,12,25,-0.028513364363440704,0.0014317188512052409,,R50-R49,isoe,,"110,111,188,189,109,190"
12,24,12,26,-0.023223572931153527,0.0014278107891009103,,R51-R49,isoe,,"110,111,188,189,109,190"
12,25,12,26,0.005289791432287177,0.0017034946013102523,,R51-R50,isom,,"110,111,188,189,109,190"
13,40,13,44,0.03957444145534706,0.003762738004467829,,R54-R53,isom,,202
14,28,14,29,-0.005320390216270888,0.00441870605263119,,R56-R55,isoe,,"113,112,193,191,192"
14,28,14,30,0.010048289203187306,0.004460769664846178,,R57-R55,isoe,,"113,112,193,191,192"
14,29,14,30,0.015368679419458194,0.004195359502833674,,R57-R56,isom,,"113,112,193,191,192"
16,32,16,34,0.02298436591407913,0.0016207958149095,,R60-R59,isoe,,"195,116,194,196,114,115"
16,32,16,36,0.03739596077554056,0.0016678075802380912,,R61-R59,isoe,,"195,116,194,196,114,115"
16,34,16,36,0.01441159486146143,0.001553530017853395,,R61-R60,isoe,,"195,116,194,196,114,115"
18,36,18,38,0.011606179129232598,0.0015358011540053448,,R70-R68,isom,,"198,197"
18,38,18,40,0.025081811111733306,0.0015492767898244823,,R72-R70,isom,,"198,197"
19,39,19,41,0.017100000254809858,0.005100000016549914,,R81-R79,isom,,199
20,40,20,42,0.029353241907354246,0.0011443429419099576,,R91-R89,isoe,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,40,20,44,0.038353166483666434,0.0013360949783498765,,R93-R89,isoe,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,40,20,48,-0.003240700919484262,0.0022879673589272804,,R97-R89,isoe,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,42,20,43,-0.013907184111443722,0.0012596724387836506,,R92-R91,isom,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,42,20,44,0.008999924576312192,0.0011102100031825238,,R93-R91,isom,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,43,20,44,0.022907108687755914,0.0016257210593149075,,R93-R92,isom,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,44,20,46,-0.02079693401147381,0.0032788540997851267,,R95-R93,isom,,"118,120,203,206,207,200,201,119,208,117,204,205"
20,46,20,48,-0.02079693339167689,0.0032788540997853066,,R97-R95,isom,,"118,120,203,206,207,200,201,119,208,117,204,205"
22,46,22,47,-0.010706836871600548,0.0012580222027818836,,R107-R106,isom,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
22,46,22,48,-0.013888974547565209,0.0013060531797316457,,R108-R106,isoe,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
22,46,22,50,-0.0348186350024499,0.001839541659544874,,R110-R106,isoe,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
22,47,22,48,-0.003182137675964661,0.0017450829583193505,,R108-R107,isom,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
22,48,22,49,-0.018236846017171036,0.0014058877680836383,,R109-R108,isom,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
22,48,22,50,-0.020929660454884695,0.0013157268532595127,,R110-R108,isoe,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
22,49,22,50,-0.0026928144377136587,0.0018473038284401728,,R110-R109,isom,,"212,210,128,213,122,123,125,126,121,124,127,214,211,209"
24,50,24,52,-0.019131344383437856,0.001355277369287263,,R113-R112,isoe,,"134,216,215,217,218,131,129,130,133,132"
24,50,24,53,-0.0018743003512407918,0.0017916458381209849,,R114-R112,isoe,,"134,216,215,217,218,131,129,130,133,132"
24,50,24,54,0.02644335488690052,0.0018274868494862772,,R115-R112,isoe,,"134,216,215,217,218,131,129,130,133,132"
24,52,24,53,0.017257044032197064,0.0011791535547937583,,R114-R113,isom,,"134,216,215,217,218,131,129,130,133,132"
24,52,24,54,0.04557469927033837,0.0012661663633453224,,R115-R113,isoe,,"134,216,215,217,218,131,129,130,133,132"
24,53,24,54,0.028317655238141313,0.0016816196097364754,,R115-R114,isom,,"134,216,215,217,218,131,129,130,133,132"
26,54,26,56,0.044086381851295146,0.0007825961921568163,,R124-R123,isoe,,"219,135,220,136,221"
